visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
103088,26.38,5,5,6,1,Cat3,Type1,www.site2.com
103089,52.0,4,4,6,2,Cat4,Type1,www.site3.com
103090,173.98,2,2,4,2,Cat31,none,www.site1.com
103091,67.82,2,2,3,1,Cat8,none,www.site1.com
103092,79.98,1,1,2,1,Cat33,none,www.site1.com
103093,100.0,1,1,2,1,Cat3,Type1,www.site2.com
103094,85.52,9,6,7,1,Cat3,Type1,www.site2.com
103095,99.0,1,1,2,1,Cat52,none,www.site1.com
103096,135.0,9,6,7,1,Cat8,none,www.site1.com
103097,54.09,4,3,5,2,Cat3,Type1,www.site2.com
103098,199.36,4,2,4,2,Cat26,Type1,www.site5.com
103099,138.83,19,19,20,1,Cat25,none,www.site1.com
103100,96.59,4,3,4,1,none,none,www.site1.com
103101,54.98,3,3,4,1,Cat50,none,www.site1.com
103102,31.95,2,2,4,2,Cat24,none,www.site1.com
103103,48.22,1,1,2,1,Cat13,Type1,www.site2.com
103104,29.88,1,1,2,1,Cat10,none,www.site1.com
103105,35.95,1,1,2,1,Cat33,none,www.site1.com
103106,23.54,6,4,5,1,Cat37,none,www.site1.com
103107,16.0,2,2,3,1,Cat26,Type1,www.site5.com
103108,62.88,7,6,7,1,Cat3,Type1,www.site2.com
103109,41.92,2,1,2,1,Cat3,Type1,www.site2.com
103110,39.95,1,1,2,1,Cat4,Type1,www.site3.com
103111,55.97,12,12,13,1,Cat26,Type2,www.site5.com
103112,45.68,1,1,2,1,Cat2,none,www.site1.com
103113,71.26,6,5,6,1,Cat3,Type1,www.site2.com
103114,574.72,6,3,5,2,Cat33,none,www.site1.com
103115,57.94,2,2,3,1,Cat24,none,www.site1.com
103116,113.44,7,4,5,1,Cat10,none,www.site1.com
103117,66.53,8,8,9,1,Cat16,none,www.site1.com
103118,48.88,1,1,2,1,Cat17,none,www.site1.com
103119,331.0,20,9,10,1,Cat12,none,www.site1.com
103120,42.85,4,4,5,1,Cat63,none,www.site1.com
103121,930.8,10,2,4,2,Cat3,Type1,www.site2.com
103122,59.55,10,10,12,2,Cat3,Type1,www.site2.com
103123,50.8,3,2,3,1,Cat24,none,www.site1.com
103124,181.24,8,8,10,2,Cat42,none,www.site1.com
103125,167.79,8,8,9,1,Cat92,none,www.site1.com
103126,32.0,2,1,2,1,Cat65,none,www.site1.com
103127,48.88,1,1,2,1,Cat17,none,www.site1.com
103128,19.97,1,1,2,1,Cat3,Type1,www.site2.com
103129,505.92,3,3,4,1,none,none,www.site1.com
103130,39.96,2,1,2,1,Cat15,none,www.site1.com
103131,56.97,6,3,4,1,Cat25,none,www.site1.com
103132,174.9,2,2,3,1,Cat3,Type1,www.site2.com
103133,100.76,12,12,15,3,Cat13,Type2,www.site2.com
103134,103.2,7,7,8,1,Cat3,Type1,www.site2.com
103135,45.47,3,3,7,4,Cat63,none,www.site1.com
103136,28.99,1,1,2,1,Cat30,none,www.site1.com
103137,32.33,3,3,5,2,Cat15,none,www.site1.com
103138,55.14,9,9,11,2,Cat21,none,www.site1.com
103139,30.98,2,2,3,1,Cat13,Type2,www.site2.com
103140,10.92,1,1,2,1,Cat8,none,www.site1.com
103141,83.0,8,8,9,1,Cat12,none,www.site1.com
103142,22.0,2,2,4,2,none,none,www.site1.com
103143,160.54,1,1,2,1,none,none,www.site1.com
103144,95.79,5,5,6,1,none,none,www.site1.com
103145,110.23,3,2,3,1,Cat37,none,www.site1.com
103146,275.8,13,8,10,2,none,none,www.site1.com
103147,16.97,1,1,2,1,Cat18,none,www.site1.com
103148,84.9,7,6,8,2,Cat8,none,www.site1.com
103149,30.88,4,4,5,1,Cat65,none,www.site1.com
103150,52.94,5,5,6,1,Cat18,none,www.site1.com
103151,50.84,2,2,3,1,Cat8,none,www.site1.com
103152,49.97,3,3,6,3,Cat25,none,www.site1.com
103153,102.52,4,3,5,2,Cat3,Type1,www.site2.com
103154,59.87,1,1,2,1,Cat21,none,www.site1.com
103155,69.59,7,5,6,1,Cat17,none,www.site1.com
103156,53.95,4,4,6,2,Cat32,none,www.site1.com
103157,55.47,2,2,4,2,Cat3,Type1,www.site2.com
103158,261.22,42,26,28,2,Cat56,none,www.site1.com
103159,181.57,5,3,4,1,Cat3,Type1,www.site2.com
103160,91.88,6,4,5,1,Cat3,Type1,www.site2.com
103161,89.0,1,1,2,1,Cat27,none,www.site1.com
103162,7.8,1,1,2,1,Cat56,none,www.site1.com
103163,12.86,4,4,5,1,Cat11,none,www.site1.com
103164,74.34,5,5,7,2,Cat18,none,www.site1.com
103165,19.99,1,1,2,1,Cat18,none,www.site1.com
103166,15.0,1,1,2,1,Cat3,Type1,www.site2.com
103167,48.88,1,1,2,1,Cat17,none,www.site1.com
103168,128.96,6,2,4,2,Cat3,Type1,www.site2.com
103169,499.68,12,2,3,1,Cat12,none,www.site1.com
